camera_base_pose.position.x=0.694347 camera_base_pose.position.y=-0.213997 camera_base_pose.position.z=-0.346495
camera_base_pose.position.x=0.749713 camera_base_pose.position.y=-0.262175 camera_base_pose.position.z=-0.356325
camera_base_pose.position.x=0.759256 camera_base_pose.position.y=-0.255429 camera_base_pose.position.z=-0.351538
camera_base_pose.position.x=0.766873 camera_base_pose.position.y=-0.258325 camera_base_pose.position.z=-0.382741
camera_base_pose.position.x=0.802887 camera_base_pose.position.y=-0.302662 camera_base_pose.position.z=-0.39634
camera_base_pose.position.x=0.79979 camera_base_pose.position.y=-0.282586 camera_base_pose.position.z=-0.369086
camera_base_pose.position.x=0.79312 camera_base_pose.position.y=-0.266189 camera_base_pose.position.z=-0.384105
camera_base_pose.position.x=0.838781 camera_base_pose.position.y=-0.271567 camera_base_pose.position.z=-0.363128
camera_base_pose.position.x=0.828733 camera_base_pose.position.y=-0.270704 camera_base_pose.position.z=-0.373358
camera_base_pose.position.x=0.847943 camera_base_pose.position.y=-0.294671 camera_base_pose.position.z=-0.373156
camera_base_pose.position.x=0.860146 camera_base_pose.position.y=-0.287675 camera_base_pose.position.z=-0.361501
camera_base_pose.position.x=0.890078 camera_base_pose.position.y=-0.299409 camera_base_pose.position.z=-0.392671
camera_base_pose.position.x=0.8899 camera_base_pose.position.y=-0.257392 camera_base_pose.position.z=-0.353145
camera_base_pose.position.x=0.931322 camera_base_pose.position.y=-0.258994 camera_base_pose.position.z=-0.346314
camera_base_pose.position.x=0.94631 camera_base_pose.position.y=-0.265806 camera_base_pose.position.z=-0.374286
camera_base_pose.position.x=0.968951 camera_base_pose.position.y=-0.332834 camera_base_pose.position.z=-0.439804
camera_base_pose.position.x=0.979593 camera_base_pose.position.y=-0.305437 camera_base_pose.position.z=-0.428285
camera_base_pose.position.x=1.03233 camera_base_pose.position.y=-0.268738 camera_base_pose.position.z=-0.390178
camera_base_pose.position.x=1.03374 camera_base_pose.position.y=-0.304553 camera_base_pose.position.z=-0.41471
camera_base_pose.position.x=1.06561 camera_base_pose.position.y=-0.318064 camera_base_pose.position.z=-0.47314
camera_base_pose.position.x=1.03748 camera_base_pose.position.y=-0.296839 camera_base_pose.position.z=-0.41032
