X:ALL_Vt(2,0)=0.00365546 Y:ALL_Vt(0,0)=-0.00323955 Z:ALL_Vt(1,0)=6.54242e-06
X:ALL_Vt(2,0)=-0.00349249 Y:ALL_Vt(0,0)=0.00173538 Z:ALL_Vt(1,0)=0.000684111
X:ALL_Vt(2,0)=-0.00414932 Y:ALL_Vt(0,0)=-0.00029317 Z:ALL_Vt(1,0)=-0.00011216
X:ALL_Vt(2,0)=-0.00936118 Y:ALL_Vt(0,0)=-0.00310232 Z:ALL_Vt(1,0)=0.000697932
X:ALL_Vt(2,0)=0.00196325 Y:ALL_Vt(0,0)=-0.000302954 Z:ALL_Vt(1,0)=-0.00157615
X:ALL_Vt(2,0)=0.000835556 Y:ALL_Vt(0,0)=0.00376059 Z:ALL_Vt(1,0)=-0.000577261
X:ALL_Vt(2,0)=-0.005086 Y:ALL_Vt(0,0)=-0.00348332 Z:ALL_Vt(1,0)=-0.000322043
X:ALL_Vt(2,0)=-0.00699408 Y:ALL_Vt(0,0)=-0.00164324 Z:ALL_Vt(1,0)=0.000665182
X:ALL_Vt(2,0)=-0.00152505 Y:ALL_Vt(0,0)=-0.000667472 Z:ALL_Vt(1,0)=-0.000415918
X:ALL_Vt(2,0)=-0.00221167 Y:ALL_Vt(0,0)=0.00154399 Z:ALL_Vt(1,0)=-0.000239931
X:ALL_Vt(2,0)=-0.00410875 Y:ALL_Vt(0,0)=-0.00204319 Z:ALL_Vt(1,0)=-0.000453474
X:ALL_Vt(2,0)=-0.00311704 Y:ALL_Vt(0,0)=-0.000142145 Z:ALL_Vt(1,0)=-0.000126364
X:ALL_Vt(2,0)=-0.00294 Y:ALL_Vt(0,0)=-0.000416248 Z:ALL_Vt(1,0)=-0.000391678
X:ALL_Vt(2,0)=0.00197803 Y:ALL_Vt(0,0)=0.003241 Z:ALL_Vt(1,0)=-0.000468546
X:ALL_Vt(2,0)=-0.00325973 Y:ALL_Vt(0,0)=-0.00308127 Z:ALL_Vt(1,0)=0.000186851
X:ALL_Vt(2,0)=-0.0050744 Y:ALL_Vt(0,0)=-6.48729e-05 Z:ALL_Vt(1,0)=-0.00074937
X:ALL_Vt(2,0)=-0.00387864 Y:ALL_Vt(0,0)=-0.00277209 Z:ALL_Vt(1,0)=-6.73877e-05
X:ALL_Vt(2,0)=-0.00250753 Y:ALL_Vt(0,0)=0.0010376 Z:ALL_Vt(1,0)=-0.000230623
X:ALL_Vt(2,0)=-0.00125314 Y:ALL_Vt(0,0)=0.00118607 Z:ALL_Vt(1,0)=-0.000353734
X:ALL_Vt(2,0)=-0.00560094 Y:ALL_Vt(0,0)=-0.0021699 Z:ALL_Vt(1,0)=0.000183592
X:ALL_Vt(2,0)=-0.000209193 Y:ALL_Vt(0,0)=-0.00175982 Z:ALL_Vt(1,0)=-0.00146898
X:ALL_Vt(2,0)=-0.00516442 Y:ALL_Vt(0,0)=0.000575835 Z:ALL_Vt(1,0)=0.000535561
X:ALL_Vt(2,0)=-0.00288272 Y:ALL_Vt(0,0)=-0.000943939 Z:ALL_Vt(1,0)=-3.7706e-05
X:ALL_Vt(2,0)=-0.00171527 Y:ALL_Vt(0,0)=0.000790928 Z:ALL_Vt(1,0)=-0.00061249
X:ALL_Vt(2,0)=-0.00139218 Y:ALL_Vt(0,0)=-0.000157397 Z:ALL_Vt(1,0)=-0.00028042
X:ALL_Vt(2,0)=-0.00325154 Y:ALL_Vt(0,0)=0.000833379 Z:ALL_Vt(1,0)=-0.000493702
X:ALL_Vt(2,0)=-0.00240055 Y:ALL_Vt(0,0)=-0.00412246 Z:ALL_Vt(1,0)=-0.000323144
X:ALL_Vt(2,0)=nan Y:ALL_Vt(0,0)=nan Z:ALL_Vt(1,0)=nan
X:ALL_Vt(2,0)=-nan Y:ALL_Vt(0,0)=-nan Z:ALL_Vt(1,0)=-nan
X:ALL_Vt(2,0)=nan Y:ALL_Vt(0,0)=nan Z:ALL_Vt(1,0)=nan
X:ALL_Vt(2,0)=-nan Y:ALL_Vt(0,0)=-nan Z:ALL_Vt(1,0)=-nan
X:ALL_Vt(2,0)=nan Y:ALL_Vt(0,0)=nan Z:ALL_Vt(1,0)=nan
X:ALL_Vt(2,0)=-nan Y:ALL_Vt(0,0)=-nan Z:ALL_Vt(1,0)=-nan
X:ALL_Vt(2,0)=nan Y:ALL_Vt(0,0)=nan Z:ALL_Vt(1,0)=nan
X:ALL_Vt(2,0)=-nan Y:ALL_Vt(0,0)=-nan Z:ALL_Vt(1,0)=-nan
X:ALL_Vt(2,0)=nan Y:ALL_Vt(0,0)=nan Z:ALL_Vt(1,0)=nan
X:ALL_Vt(2,0)=-nan Y:ALL_Vt(0,0)=-nan Z:ALL_Vt(1,0)=-nan
X:ALL_Vt(2,0)=nan Y:ALL_Vt(0,0)=nan Z:ALL_Vt(1,0)=nan
X:ALL_Vt(2,0)=-nan Y:ALL_Vt(0,0)=-nan Z:ALL_Vt(1,0)=-nan
X:ALL_Vt(2,0)=nan Y:ALL_Vt(0,0)=nan Z:ALL_Vt(1,0)=nan
X:ALL_Vt(2,0)=-nan Y:ALL_Vt(0,0)=-nan Z:ALL_Vt(1,0)=-nan
X:ALL_Vt(2,0)=nan Y:ALL_Vt(0,0)=nan Z:ALL_Vt(1,0)=nan
X:ALL_Vt(2,0)=-nan Y:ALL_Vt(0,0)=-nan Z:ALL_Vt(1,0)=-nan
X:ALL_Vt(2,0)=nan Y:ALL_Vt(0,0)=nan Z:ALL_Vt(1,0)=nan
