MC_point[3][0]=-1.09176, MC_point[3][1]=0.356371, MC_point[3][2]=3.154             Est_LM_camera[3][0]=-1.16536, Est_LM_camera[3][1]=-0.28, Est_LM_camera[3][2]=2.79331
MC_point[4][0]=0.520846, MC_point[4][1]=0.35523, MC_point[4][2]=4.856             Est_LM_camera[4][0]=0.607199, Est_LM_camera[4][1]=-0.28, Est_LM_camera[4][2]=4.46577
MC_point[3][0]=-1.0897, MC_point[3][1]=0.335145, MC_point[3][2]=3.09             Est_LM_camera[3][0]=-1.16672, Est_LM_camera[3][1]=-0.28, Est_LM_camera[3][2]=2.76464
MC_point[4][0]=0.509119, MC_point[4][1]=0.355674, MC_point[4][2]=4.895             Est_LM_camera[4][0]=0.60578, Est_LM_camera[4][1]=-0.28, Est_LM_camera[4][2]=4.43543
MC_point[3][0]=-1.10439, MC_point[3][1]=0.334974, MC_point[3][2]=3.075             Est_LM_camera[3][0]=-1.16756, Est_LM_camera[3][1]=-0.28, Est_LM_camera[3][2]=2.7337
MC_point[4][0]=0.485451, MC_point[4][1]=0.370455, MC_point[4][2]=4.818             Est_LM_camera[4][0]=0.604347, Est_LM_camera[4][1]=-0.28, Est_LM_camera[4][2]=4.41236
MC_point[3][0]=-1.11249, MC_point[3][1]=0.344294, MC_point[3][2]=3.029             Est_LM_camera[3][0]=-1.16841, Est_LM_camera[3][1]=-0.28, Est_LM_camera[3][2]=2.71002
MC_point[4][0]=0.451319, MC_point[4][1]=0.361184, MC_point[4][2]=4.707             Est_LM_camera[4][0]=0.604737, Est_LM_camera[4][1]=-0.28, Est_LM_camera[4][2]=4.35424
MC_point[4][0]=0.454132, MC_point[4][1]=0.362627, MC_point[4][2]=4.818             Est_LM_camera[4][0]=0.611179, Est_LM_camera[4][1]=-0.28, Est_LM_camera[4][2]=4.31932
MC_point[4][0]=0.45055, MC_point[4][1]=0.346599, MC_point[4][2]=4.78             Est_LM_camera[4][0]=0.617401, Est_LM_camera[4][1]=-0.28, Est_LM_camera[4][2]=4.29703
MC_point[4][0]=0.431646, MC_point[4][1]=0.353945, MC_point[4][2]=4.743             Est_LM_camera[4][0]=0.623684, Est_LM_camera[4][1]=-0.28, Est_LM_camera[4][2]=4.2673
MC_point[3][0]=-1.13258, MC_point[3][1]=0.327618, MC_point[3][2]=2.833             Est_LM_camera[3][0]=-1.157, Est_LM_camera[3][1]=-0.28, Est_LM_camera[3][2]=2.57325
MC_point[4][0]=0.431646, MC_point[4][1]=0.369358, MC_point[4][2]=4.743             Est_LM_camera[4][0]=0.626817, Est_LM_camera[4][1]=-0.28, Est_LM_camera[4][2]=4.24073
MC_point[4][0]=0.427246, MC_point[4][1]=0.369899, MC_point[4][2]=4.78             Est_LM_camera[4][0]=0.633463, Est_LM_camera[4][1]=-0.28, Est_LM_camera[4][2]=4.2068
MC_point[3][0]=-1.14877, MC_point[3][1]=0.340857, MC_point[3][2]=2.794             Est_LM_camera[3][0]=-1.15153, Est_LM_camera[3][1]=-0.28, Est_LM_camera[3][2]=2.5173
MC_point[4][0]=0.413071, MC_point[4][1]=0.368832, MC_point[4][2]=4.707             Est_LM_camera[4][0]=0.63618, Est_LM_camera[4][1]=-0.28, Est_LM_camera[4][2]=4.18465
MC_point[3][0]=-1.17346, MC_point[3][1]=0.335824, MC_point[3][2]=2.756             Est_LM_camera[3][0]=-1.14644, Est_LM_camera[3][1]=-0.28, Est_LM_camera[3][2]=2.47664
MC_point[4][0]=0.39473, MC_point[4][1]=0.360716, MC_point[4][2]=4.671             Est_LM_camera[4][0]=0.642769, Est_LM_camera[4][1]=-0.28, Est_LM_camera[4][2]=4.16168
