ALLrealsec=0 ,realsec=0 ,CameraLM[4][0]=3.01654,CameraLM[4][1]=0.265728
ALLrealsec=39.284 ,realsec=0.112531 ,CameraLM[6][0]=3.60658,CameraLM[6][1]=-0.368389
ALLrealsec=39.427 ,realsec=0.143019 ,CameraLM[6][0]=3.5757,CameraLM[6][1]=-0.372625
ALLrealsec=39.5385 ,realsec=0.111509 ,CameraLM[6][0]=3.58364,CameraLM[6][1]=-0.378252
ALLrealsec=39.6827 ,realsec=0.144224 ,CameraLM[6][0]=3.5675,CameraLM[6][1]=-0.379655
ALLrealsec=39.8051 ,realsec=0.122365 ,CameraLM[6][0]=3.51954,CameraLM[6][1]=-0.383853
ALLrealsec=39.9398 ,realsec=0.134693 ,CameraLM[6][0]=3.50397,CameraLM[6][1]=-0.38525
ALLrealsec=40.0287 ,realsec=0.088924 ,CameraLM[6][0]=3.49033,CameraLM[6][1]=-0.388038
ALLrealsec=40.1288 ,realsec=0.100078 ,CameraLM[6][0]=3.45973,CameraLM[6][1]=-0.39082
ALLrealsec=40.2624 ,realsec=0.133648 ,CameraLM[6][0]=3.38205,CameraLM[6][1]=-0.39498
ALLrealsec=40.3521 ,realsec=0.089632 ,CameraLM[6][0]=3.41743,CameraLM[6][1]=-0.396364
ALLrealsec=40.4624 ,realsec=0.110372 ,CameraLM[6][0]=3.38597,CameraLM[6][1]=-0.397746
ALLrealsec=40.5501 ,realsec=0.087681 ,CameraLM[6][0]=3.38794,CameraLM[6][1]=-0.399127
ALLrealsec=40.659 ,realsec=0.108925 ,CameraLM[6][0]=3.32777,CameraLM[6][1]=-0.401883
ALLrealsec=40.7439 ,realsec=0.084823 ,CameraLM[6][0]=3.30215,CameraLM[6][1]=-0.406005
ALLrealsec=40.8653 ,realsec=0.121485 ,CameraLM[6][0]=3.29108,CameraLM[6][1]=-0.408745
ALLrealsec=40.9585 ,realsec=0.093174 ,CameraLM[6][0]=3.24901,CameraLM[6][1]=-0.411479
ALLrealsec=41.9239 ,realsec=0.085091 ,CameraLM[6][0]=3.1962,CameraLM[6][1]=-0.435786
ALLrealsec=42.0842 ,realsec=0.160303 ,CameraLM[6][0]=3.17853,CameraLM[6][1]=-0.433111
ALLrealsec=42.1907 ,realsec=0.106432 ,CameraLM[6][0]=3.18051,CameraLM[6][1]=-0.434449
ALLrealsec=42.3228 ,realsec=0.132123 ,CameraLM[6][0]=3.17853,CameraLM[6][1]=-0.433111
ALLrealsec=42.4626 ,realsec=0.139771 ,CameraLM[6][0]=3.17853,CameraLM[6][1]=-0.433111
ALLrealsec=42.5303 ,realsec=0.06768 ,CameraLM[6][0]=3.17853,CameraLM[6][1]=-0.433111
ALLrealsec=42.6258 ,realsec=0.095513 ,CameraLM[6][0]=3.19223,CameraLM[6][1]=-0.433111
ALLrealsec=42.7337 ,realsec=0.107985 ,CameraLM[6][0]=3.19223,CameraLM[6][1]=-0.433111
ALLrealsec=42.8323 ,realsec=0.098555 ,CameraLM[6][0]=3.19223,CameraLM[6][1]=-0.433111
ALLrealsec=42.9575 ,realsec=0.125235 ,CameraLM[6][0]=3.19223,CameraLM[6][1]=-0.433111
ALLrealsec=43.0495 ,realsec=0.091943 ,CameraLM[6][0]=3.20677,CameraLM[6][1]=-0.433111
ALLrealsec=43.1787 ,realsec=0.129248 ,CameraLM[6][0]=3.17853,CameraLM[6][1]=-0.433111
ALLrealsec=43.3021 ,realsec=0.123345 ,CameraLM[6][0]=3.20677,CameraLM[6][1]=-0.433111
ALLrealsec=43.4211 ,realsec=0.118991 ,CameraLM[6][0]=3.20677,CameraLM[6][1]=-0.433111
ALLrealsec=43.5545 ,realsec=0.133403 ,CameraLM[6][0]=3.19223,CameraLM[6][1]=-0.433111
ALLrealsec=43.6719 ,realsec=0.11739 ,CameraLM[6][0]=3.19223,CameraLM[6][1]=-0.433111
ALLrealsec=43.7916 ,realsec=0.119707 ,CameraLM[6][0]=3.20677,CameraLM[6][1]=-0.433111
ALLrealsec=43.8874 ,realsec=0.09583 ,CameraLM[6][0]=3.19223,CameraLM[6][1]=-0.433111
ALLrealsec=44.0008 ,realsec=0.113405 ,CameraLM[6][0]=3.20677,CameraLM[6][1]=-0.433111
ALLrealsec=44.1043 ,realsec=0.103532 ,CameraLM[6][0]=3.19223,CameraLM[6][1]=-0.433111
ALLrealsec=44.2029 ,realsec=0.098528 ,CameraLM[6][0]=3.19223,CameraLM[6][1]=-0.433111
ALLrealsec=44.4043 ,realsec=0.20147 ,CameraLM[6][0]=3.19223,CameraLM[6][1]=-0.433111
ALLrealsec=44.4734 ,realsec=0.069045 ,CameraLM[6][0]=3.20677,CameraLM[6][1]=-0.433111
ALLrealsec=44.6314 ,realsec=0.158037 ,CameraLM[6][0]=3.17853,CameraLM[6][1]=-0.433111
ALLrealsec=44.7343 ,realsec=0.102913 ,CameraLM[6][0]=3.19223,CameraLM[6][1]=-0.433111
ALLrealsec=44.8595 ,realsec=0.125142 ,CameraLM[6][0]=3.17853,CameraLM[6][1]=-0.433111
ALLrealsec=44.9741 ,realsec=0.114645 ,CameraLM[6][0]=3.17853,CameraLM[6][1]=-0.433111
