ALLrealsec=6.77078 ,realsec=0.114258 ,Est_RobotX=1.19833,Est_RobotY=0.0884765,Est_RobotTH=0.0803002
ALLrealsec=6.93615 ,realsec=0.165371 ,Est_RobotX=1.23751,Est_RobotY=0.0917621,Est_RobotTH=0.0812731
ALLrealsec=7.0502 ,realsec=0.114051 ,Est_RobotX=1.26305,Est_RobotY=0.093936,Est_RobotTH=0.081914
ALLrealsec=7.18368 ,realsec=0.13348 ,Est_RobotX=1.29241,Est_RobotY=0.0964262,Est_RobotTH=0.0807978
ALLrealsec=7.28467 ,realsec=0.100983 ,Est_RobotX=1.31266,Est_RobotY=0.0982136,Est_RobotTH=0.0824304
ALLrealsec=7.39265 ,realsec=0.107981 ,Est_RobotX=1.33561,Est_RobotY=0.100253,Est_RobotTH=0.0815118
ALLrealsec=7.49375 ,realsec=0.101102 ,Est_RobotX=1.35693,Est_RobotY=0.102072,Est_RobotTH=0.0805489
ALLrealsec=7.61844 ,realsec=0.124695 ,Est_RobotX=1.38483,Est_RobotY=0.104403,Est_RobotTH=0.0799781
ALLrealsec=7.73236 ,realsec=0.113915 ,Est_RobotX=1.40552,Est_RobotY=0.105551,Est_RobotTH=0.0667104
ALLrealsec=7.89153 ,realsec=0.159171 ,Est_RobotX=1.42822,Est_RobotY=0.106577,Est_RobotTH=0.0547371
ALLrealsec=8.02074 ,realsec=0.129206 ,Est_RobotX=1.44658,Est_RobotY=0.106952,Est_RobotTH=0.0431631
ALLrealsec=8.15248 ,realsec=0.131744 ,Est_RobotX=1.47136,Est_RobotY=0.108359,Est_RobotTH=0.0472695
ALLrealsec=8.30962 ,realsec=0.157139 ,Est_RobotX=1.50605,Est_RobotY=0.111189,Est_RobotTH=0.0625663
ALLrealsec=8.44288 ,realsec=0.133259 ,Est_RobotX=1.53531,Est_RobotY=0.113636,Est_RobotTH=0.0681124
ALLrealsec=8.56261 ,realsec=0.119736 ,Est_RobotX=1.56031,Est_RobotY=0.115874,Est_RobotTH=0.0713775
ALLrealsec=8.73661 ,realsec=0.173999 ,Est_RobotX=1.5939,Est_RobotY=0.119221,Est_RobotTH=0.0786793
ALLrealsec=8.86868 ,realsec=0.132068 ,Est_RobotX=1.22543,Est_RobotY=0.100912,Est_RobotTH=0.120778
ALLrealsec=8.96648 ,realsec=0.097804 ,Est_RobotX=1.07723,Est_RobotY=0.0973394,Est_RobotTH=0.163418
ALLrealsec=9.13263 ,realsec=0.166145 ,Est_RobotX=1.04618,Est_RobotY=0.101843,Est_RobotTH=0.182304
ALLrealsec=9.26306 ,realsec=0.13043 ,Est_RobotX=1.04001,Est_RobotY=0.106608,Est_RobotTH=0.189071
ALLrealsec=9.36355 ,realsec=0.100491 ,Est_RobotX=1.0248,Est_RobotY=0.11,Est_RobotTH=0.192183
ALLrealsec=9.52173 ,realsec=0.158179 ,Est_RobotX=1.02128,Est_RobotY=0.116292,Est_RobotTH=0.197688
ALLrealsec=9.67856 ,realsec=0.156826 ,Est_RobotX=1.01415,Est_RobotY=0.122495,Est_RobotTH=0.200718
ALLrealsec=9.77488 ,realsec=0.096327 ,Est_RobotX=0.99274,Est_RobotY=0.126025,Est_RobotTH=0.208424
ALLrealsec=9.93962 ,realsec=0.164738 ,Est_RobotX=0.985494,Est_RobotY=0.133133,Est_RobotTH=0.212736
ALLrealsec=10.0645 ,realsec=0.124849 ,Est_RobotX=0.968704,Est_RobotY=0.138349,Est_RobotTH=0.216858
ALLrealsec=10.1617 ,realsec=0.097256 ,Est_RobotX=0.94513,Est_RobotY=0.141993,Est_RobotTH=0.2166
ALLrealsec=10.3279 ,realsec=0.166132 ,Est_RobotX=0.975438,Est_RobotY=0.146371,Est_RobotTH=0.181275
ALLrealsec=10.4823 ,realsec=0.154429 ,Est_RobotX=1.00169,Est_RobotY=0.149073,Est_RobotTH=0.14548
ALLrealsec=10.5888 ,realsec=0.106476 ,Est_RobotX=1.01902,Est_RobotY=0.149896,Est_RobotTH=0.124438
ALLrealsec=10.7415 ,realsec=0.152725 ,Est_RobotX=1.05012,Est_RobotY=0.152235,Est_RobotTH=0.10355
ALLrealsec=10.8757 ,realsec=0.134237 ,Est_RobotX=1.07583,Est_RobotY=0.153689,Est_RobotTH=0.0869677
ALLrealsec=11.0031 ,realsec=0.127351 ,Est_RobotX=1.102,Est_RobotY=0.155084,Est_RobotTH=0.0752306
ALLrealsec=11.1033 ,realsec=0.100268 ,Est_RobotX=1.12232,Est_RobotY=0.156097,Est_RobotTH=0.0696379
ALLrealsec=11.2674 ,realsec=0.164019 ,Est_RobotX=1.16083,Est_RobotY=0.158882,Est_RobotTH=0.0733493
ALLrealsec=11.4126 ,realsec=0.145264 ,Est_RobotX=1.19551,Est_RobotY=0.16127,Est_RobotTH=0.0730228
ALLrealsec=11.5271 ,realsec=0.114483 ,Est_RobotX=1.22215,Est_RobotY=0.163138,Est_RobotTH=0.0723549
ALLrealsec=12.2755 ,realsec=0.748359 ,Est_RobotX=1.18022,Est_RobotY=0.160129,Est_RobotTH=0.0499525
ALLrealsec=12.4518 ,realsec=0.176298 ,Est_RobotX=1.1139,Est_RobotY=0.156092,Est_RobotTH=0.0169035
ALLrealsec=12.5037 ,realsec=0.051984 ,Est_RobotX=1.08402,Est_RobotY=0.154238,Est_RobotTH=-0.00172651
ALLrealsec=12.5945 ,realsec=0.090703 ,Est_RobotX=0.894571,Est_RobotY=0.146583,Est_RobotTH=-0.0712608
ALLrealsec=12.7168 ,realsec=0.12238 ,Est_RobotX=0.735678,Est_RobotY=0.140836,Est_RobotTH=-0.128763
ALLrealsec=12.8189 ,realsec=0.102101 ,Est_RobotX=0.644376,Est_RobotY=0.137816,Est_RobotTH=-0.183765
ALLrealsec=12.9348 ,realsec=0.115911 ,Est_RobotX=0.634118,Est_RobotY=0.137787,Est_RobotTH=-0.110066
ALLrealsec=13.056 ,realsec=0.121114 ,Est_RobotX=0.626825,Est_RobotY=0.137621,Est_RobotTH=-0.0742373
ALLrealsec=13.1531 ,realsec=0.09718 ,Est_RobotX=0.613816,Est_RobotY=0.137116,Est_RobotTH=-0.0549949
ALLrealsec=13.2752 ,realsec=0.122074 ,Est_RobotX=0.588131,Est_RobotY=0.135501,Est_RobotTH=0.0048022
ALLrealsec=13.3881 ,realsec=0.112874 ,Est_RobotX=0.558601,Est_RobotY=0.13309,Est_RobotTH=0.0427244
ALLrealsec=13.4898 ,realsec=0.101751 ,Est_RobotX=0.52864,Est_RobotY=0.130151,Est_RobotTH=0.0654577
ALLrealsec=13.6048 ,realsec=0.114938 ,Est_RobotX=0.492667,Est_RobotY=0.126021,Est_RobotTH=0.116008
ALLrealsec=13.7208 ,realsec=0.115987 ,Est_RobotX=0.458462,Est_RobotY=0.121553,Est_RobotTH=0.164645
ALLrealsec=13.8235 ,realsec=0.102733 ,Est_RobotX=0.418264,Est_RobotY=0.115766,Est_RobotTH=0.203618
ALLrealsec=13.936 ,realsec=0.112498 ,Est_RobotX=0.39689,Est_RobotY=0.112383,Est_RobotTH=0.193799
ALLrealsec=14.0513 ,realsec=0.115289 ,Est_RobotX=0.378828,Est_RobotY=0.109306,Est_RobotTH=0.216784
ALLrealsec=14.1468 ,realsec=0.095559 ,Est_RobotX=0.358651,Est_RobotY=0.105823,Est_RobotTH=0.335099
ALLrealsec=14.2592 ,realsec=0.112404 ,Est_RobotX=0.339938,Est_RobotY=0.102212,Est_RobotTH=0.401229
ALLrealsec=14.3926 ,realsec=0.13335 ,Est_RobotX=-0.57238,Est_RobotY=-0.156714,Est_RobotTH=1.43519
ALLrealsec=14.4961 ,realsec=0.103522 ,Est_RobotX=-1.34204,Est_RobotY=-0.330929,Est_RobotTH=-0.242256
ALLrealsec=14.5974 ,realsec=0.101319 ,Est_RobotX=-1.75113,Est_RobotY=-0.40603,Est_RobotTH=-0.557007
ALLrealsec=14.7628 ,realsec=0.16535 ,Est_RobotX=-1.70087,Est_RobotY=-0.386614,Est_RobotTH=0.0330897
ALLrealsec=14.8965 ,realsec=0.133753 ,Est_RobotX=-1.61133,Est_RobotY=-0.359562,Est_RobotTH=-0.00627227
ALLrealsec=15.0484 ,realsec=0.151867 ,Est_RobotX=-1.51615,Est_RobotY=-0.326945,Est_RobotTH=0.0894326
ALLrealsec=15.15 ,realsec=0.101565 ,Est_RobotX=-1.40701,Est_RobotY=-0.28805,Est_RobotTH=-0.00477411
ALLrealsec=15.2959 ,realsec=0.145905 ,Est_RobotX=-1.28538,Est_RobotY=-0.238865,Est_RobotTH=0.0878365
ALLrealsec=15.4706 ,realsec=0.174721 ,Est_RobotX=-1.144,Est_RobotY=-0.17717,Est_RobotTH=0.0914665
