camera_base_pose.position.x=1.44815 camera_base_pose.position.y=0.0146148 camera_base_pose.position.z=-0.203757
camera_base_pose.position.x=1.48196 camera_base_pose.position.y=0.0525077 camera_base_pose.position.z=-0.18021
camera_base_pose.position.x=1.49107 camera_base_pose.position.y=0.0495397 camera_base_pose.position.z=-0.189402
camera_base_pose.position.x=1.54456 camera_base_pose.position.y=0.0412828 camera_base_pose.position.z=-0.232873
camera_base_pose.position.x=1.61063 camera_base_pose.position.y=0.0133696 camera_base_pose.position.z=-0.240433
camera_base_pose.position.x=1.63873 camera_base_pose.position.y=0.0710196 camera_base_pose.position.z=-0.226736
camera_base_pose.position.x=1.70028 camera_base_pose.position.y=0.094852 camera_base_pose.position.z=-0.183622
camera_base_pose.position.x=1.81194 camera_base_pose.position.y=-0.107339 camera_base_pose.position.z=-0.302512
camera_base_pose.position.x=1.85488 camera_base_pose.position.y=-0.0696373 camera_base_pose.position.z=-0.290811
camera_base_pose.position.x=1.86346 camera_base_pose.position.y=-0.0485364 camera_base_pose.position.z=-0.269904
camera_base_pose.position.x=1.94999 camera_base_pose.position.y=-0.114462 camera_base_pose.position.z=-0.315954
camera_base_pose.position.x=2.00306 camera_base_pose.position.y=-0.0757779 camera_base_pose.position.z=-0.302736
camera_base_pose.position.x=2.04083 camera_base_pose.position.y=-0.0915654 camera_base_pose.position.z=-0.304015
camera_base_pose.position.x=2.06384 camera_base_pose.position.y=-0.0912597 camera_base_pose.position.z=-0.306141
camera_base_pose.position.x=2.09974 camera_base_pose.position.y=-0.105125 camera_base_pose.position.z=-0.298895
camera_base_pose.position.x=2.1382 camera_base_pose.position.y=-0.164291 camera_base_pose.position.z=-0.335637
camera_base_pose.position.x=2.2244 camera_base_pose.position.y=-0.299857 camera_base_pose.position.z=-0.405213
camera_base_pose.position.x=2.29968 camera_base_pose.position.y=-0.355666 camera_base_pose.position.z=-0.418653
camera_base_pose.position.x=2.37934 camera_base_pose.position.y=-0.373745 camera_base_pose.position.z=-0.431517
camera_base_pose.position.x=2.4586 camera_base_pose.position.y=-0.392652 camera_base_pose.position.z=-0.44374
camera_base_pose.position.x=2.45195 camera_base_pose.position.y=-0.599674 camera_base_pose.position.z=-0.62194
camera_base_pose.position.x=2.49183 camera_base_pose.position.y=-0.610875 camera_base_pose.position.z=-0.648201
camera_base_pose.position.x=2.57835 camera_base_pose.position.y=-0.757438 camera_base_pose.position.z=-0.700331
camera_base_pose.position.x=2.63285 camera_base_pose.position.y=-0.733034 camera_base_pose.position.z=-0.696351
camera_base_pose.position.x=2.67471 camera_base_pose.position.y=-0.723137 camera_base_pose.position.z=-0.691158
camera_base_pose.position.x=2.7161 camera_base_pose.position.y=-0.701177 camera_base_pose.position.z=-0.679571
camera_base_pose.position.x=2.75325 camera_base_pose.position.y=-0.709961 camera_base_pose.position.z=-0.681953
camera_base_pose.position.x=2.76719 camera_base_pose.position.y=-0.699405 camera_base_pose.position.z=-0.679545
camera_base_pose.position.x=2.79138 camera_base_pose.position.y=-0.733264 camera_base_pose.position.z=-0.698866
camera_base_pose.position.x=2.88821 camera_base_pose.position.y=-0.785675 camera_base_pose.position.z=-0.726052
camera_base_pose.position.x=2.93389 camera_base_pose.position.y=-0.775802 camera_base_pose.position.z=-0.734585
camera_base_pose.position.x=2.9839 camera_base_pose.position.y=-0.747536 camera_base_pose.position.z=-0.708943
camera_base_pose.position.x=3.04407 camera_base_pose.position.y=-0.768869 camera_base_pose.position.z=-0.740763
camera_base_pose.position.x=3.0971 camera_base_pose.position.y=-0.77018 camera_base_pose.position.z=-0.743315
camera_base_pose.position.x=3.18643 camera_base_pose.position.y=-0.888524 camera_base_pose.position.z=-0.815892
camera_base_pose.position.x=3.2483 camera_base_pose.position.y=-0.882292 camera_base_pose.position.z=-0.827787
camera_base_pose.position.x=3.28215 camera_base_pose.position.y=-0.868541 camera_base_pose.position.z=-0.832704
camera_base_pose.position.x=3.36485 camera_base_pose.position.y=-0.8442 camera_base_pose.position.z=-0.83823
camera_base_pose.position.x=3.37831 camera_base_pose.position.y=-0.840693 camera_base_pose.position.z=-0.835409
camera_base_pose.position.x=3.42045 camera_base_pose.position.y=-0.853691 camera_base_pose.position.z=-0.846079
camera_base_pose.position.x=3.48167 camera_base_pose.position.y=-0.845312 camera_base_pose.position.z=-0.848798
camera_base_pose.position.x=3.54087 camera_base_pose.position.y=-0.872786 camera_base_pose.position.z=-0.856498
camera_base_pose.position.x=3.5839 camera_base_pose.position.y=-0.870778 camera_base_pose.position.z=-0.850665
camera_base_pose.position.x=3.61565 camera_base_pose.position.y=-0.864316 camera_base_pose.position.z=-0.852097
camera_base_pose.position.x=3.66161 camera_base_pose.position.y=-0.861158 camera_base_pose.position.z=-0.855628
camera_base_pose.position.x=3.72281 camera_base_pose.position.y=-0.862128 camera_base_pose.position.z=-0.84387
camera_base_pose.position.x=3.7533 camera_base_pose.position.y=-0.87088 camera_base_pose.position.z=-0.849588
camera_base_pose.position.x=3.77304 camera_base_pose.position.y=-0.872612 camera_base_pose.position.z=-0.852507
camera_base_pose.position.x=3.82857 camera_base_pose.position.y=-0.857329 camera_base_pose.position.z=-0.844815
camera_base_pose.position.x=3.86958 camera_base_pose.position.y=-0.845637 camera_base_pose.position.z=-0.838799
camera_base_pose.position.x=3.8841 camera_base_pose.position.y=-0.845642 camera_base_pose.position.z=-0.838905
camera_base_pose.position.x=3.91902 camera_base_pose.position.y=-0.847771 camera_base_pose.position.z=-0.837561
camera_base_pose.position.x=3.98218 camera_base_pose.position.y=-0.871535 camera_base_pose.position.z=-0.852248
camera_base_pose.position.x=3.9888 camera_base_pose.position.y=-0.819755 camera_base_pose.position.z=-0.827235
camera_base_pose.position.x=4.01695 camera_base_pose.position.y=-0.826971 camera_base_pose.position.z=-0.829321
camera_base_pose.position.x=4.05971 camera_base_pose.position.y=-0.827519 camera_base_pose.position.z=-0.828801
camera_base_pose.position.x=4.11969 camera_base_pose.position.y=-0.867672 camera_base_pose.position.z=-0.844961
camera_base_pose.position.x=4.15652 camera_base_pose.position.y=-0.85643 camera_base_pose.position.z=-0.857005
camera_base_pose.position.x=4.20705 camera_base_pose.position.y=-0.883617 camera_base_pose.position.z=-0.868359
camera_base_pose.position.x=4.22801 camera_base_pose.position.y=-0.888238 camera_base_pose.position.z=-0.863414
camera_base_pose.position.x=4.26564 camera_base_pose.position.y=-0.901722 camera_base_pose.position.z=-0.868957
camera_base_pose.position.x=4.26662 camera_base_pose.position.y=-0.869891 camera_base_pose.position.z=-0.846145
camera_base_pose.position.x=4.34866 camera_base_pose.position.y=-0.924366 camera_base_pose.position.z=-0.873593
camera_base_pose.position.x=4.3971 camera_base_pose.position.y=-0.949339 camera_base_pose.position.z=-0.898942
camera_base_pose.position.x=4.40106 camera_base_pose.position.y=-0.907704 camera_base_pose.position.z=-0.873944
camera_base_pose.position.x=4.45375 camera_base_pose.position.y=-0.934243 camera_base_pose.position.z=-0.893909
camera_base_pose.position.x=4.49335 camera_base_pose.position.y=-0.946213 camera_base_pose.position.z=-0.887307
camera_base_pose.position.x=4.52822 camera_base_pose.position.y=-0.915412 camera_base_pose.position.z=-0.893953
camera_base_pose.position.x=4.57575 camera_base_pose.position.y=-0.930036 camera_base_pose.position.z=-0.895272
camera_base_pose.position.x=4.5902 camera_base_pose.position.y=-0.941761 camera_base_pose.position.z=-0.90295
camera_base_pose.position.x=4.63399 camera_base_pose.position.y=-0.936023 camera_base_pose.position.z=-0.899603
camera_base_pose.position.x=4.65079 camera_base_pose.position.y=-0.92132 camera_base_pose.position.z=-0.899257
camera_base_pose.position.x=4.69048 camera_base_pose.position.y=-0.919873 camera_base_pose.position.z=-0.897225
camera_base_pose.position.x=4.72966 camera_base_pose.position.y=-0.918234 camera_base_pose.position.z=-0.895398
camera_base_pose.position.x=4.57118 camera_base_pose.position.y=-1.00401 camera_base_pose.position.z=-0.844378
camera_base_pose.position.x=4.58698 camera_base_pose.position.y=-1.00989 camera_base_pose.position.z=-0.84571
camera_base_pose.position.x=4.60944 camera_base_pose.position.y=-1.01127 camera_base_pose.position.z=-0.842339
camera_base_pose.position.x=4.6394 camera_base_pose.position.y=-1.00337 camera_base_pose.position.z=-0.841126
camera_base_pose.position.x=4.66992 camera_base_pose.position.y=-1.02058 camera_base_pose.position.z=-0.852638
camera_base_pose.position.x=4.67252 camera_base_pose.position.y=-1.00491 camera_base_pose.position.z=-0.843851
camera_base_pose.position.x=4.69946 camera_base_pose.position.y=-1.01996 camera_base_pose.position.z=-0.851211
camera_base_pose.position.x=4.7264 camera_base_pose.position.y=-1.03501 camera_base_pose.position.z=-0.858572
camera_base_pose.position.x=4.75334 camera_base_pose.position.y=-1.05007 camera_base_pose.position.z=-0.865933
camera_base_pose.position.x=4.78028 camera_base_pose.position.y=-1.06512 camera_base_pose.position.z=-0.873294
camera_base_pose.position.x=4.80722 camera_base_pose.position.y=-1.08017 camera_base_pose.position.z=-0.880655
camera_base_pose.position.x=4.83417 camera_base_pose.position.y=-1.09523 camera_base_pose.position.z=-0.888015
camera_base_pose.position.x=4.86111 camera_base_pose.position.y=-1.11028 camera_base_pose.position.z=
