camera_base_pose.position.x=0.469926 camera_base_pose.position.y=0.345054 camera_base_pose.position.z=-0.030064
camera_base_pose.position.x=0.479221 camera_base_pose.position.y=0.341425 camera_base_pose.position.z=-0.0344677
camera_base_pose.position.x=0.509727 camera_base_pose.position.y=0.356196 camera_base_pose.position.z=-0.0343752
camera_base_pose.position.x=0.534361 camera_base_pose.position.y=0.330672 camera_base_pose.position.z=-0.0350204
camera_base_pose.position.x=0.555649 camera_base_pose.position.y=0.337509 camera_base_pose.position.z=-0.0383051
camera_base_pose.position.x=0.571046 camera_base_pose.position.y=0.3359 camera_base_pose.position.z=-0.0390113
camera_base_pose.position.x=0.591731 camera_base_pose.position.y=0.315682 camera_base_pose.position.z=-0.0385761
camera_base_pose.position.x=0.623405 camera_base_pose.position.y=0.321232 camera_base_pose.position.z=-0.0383457
camera_base_pose.position.x=0.634965 camera_base_pose.position.y=0.215965 camera_base_pose.position.z=-0.0401212
camera_base_pose.position.x=0.651393 camera_base_pose.position.y=0.232895 camera_base_pose.position.z=-0.0416161
camera_base_pose.position.x=0.675018 camera_base_pose.position.y=0.207163 camera_base_pose.position.z=-0.0422502
camera_base_pose.position.x=0.701805 camera_base_pose.position.y=0.223799 camera_base_pose.position.z=-0.0421967
camera_base_pose.position.x=0.695726 camera_base_pose.position.y=0.212169 camera_base_pose.position.z=-0.0471783
camera_base_pose.position.x=0.758903 camera_base_pose.position.y=0.29785 camera_base_pose.position.z=-0.0466917
camera_base_pose.position.x=0.756559 camera_base_pose.position.y=0.252714 camera_base_pose.position.z=-0.0514617
camera_base_pose.position.x=0.780047 camera_base_pose.position.y=0.278426 camera_base_pose.position.z=-0.0529224
camera_base_pose.position.x=0.828733 camera_base_pose.position.y=0.279507 camera_base_pose.position.z=-0.0550334
camera_base_pose.position.x=0.870541 camera_base_pose.position.y=0.241032 camera_base_pose.position.z=-0.0578501
camera_base_pose.position.x=0.910792 camera_base_pose.position.y=0.280301 camera_base_pose.position.z=-0.0564065
camera_base_pose.position.x=0.927909 camera_base_pose.position.y=0.254975 camera_base_pose.position.z=-0.0597142
camera_base_pose.position.x=0.955871 camera_base_pose.position.y=0.259199 camera_base_pose.position.z=-0.0602667
camera_base_pose.position.x=0.989216 camera_base_pose.position.y=0.282928 camera_base_pose.position.z=-0.0603861
camera_base_pose.position.x=1.00846 camera_base_pose.position.y=0.264334 camera_base_pose.position.z=-0.0608755
camera_base_pose.position.x=1.02308 camera_base_pose.position.y=0.285928 camera_base_pose.position.z=-0.061726
camera_base_pose.position.x=1.04237 camera_base_pose.position.y=0.318399 camera_base_pose.position.z=-0.0590835
camera_base_pose.position.x=1.0628 camera_base_pose.position.y=0.286053 camera_base_pose.position.z=-0.0612894
camera_base_pose.position.x=1.11101 camera_base_pose.position.y=0.299899 camera_base_pose.position.z=-0.0635712
camera_base_pose.position.x=1.14284 camera_base_pose.position.y=0.30739 camera_base_pose.position.z=-0.0658462
camera_base_pose.position.x=1.15071 camera_base_pose.position.y=0.307725 camera_base_pose.position.z=-0.0684569
camera_base_pose.position.x=1.16479 camera_base_pose.position.y=0.308727 camera_base_pose.position.z=-0.0706604
camera_base_pose.position.x=1.20876 camera_base_pose.position.y=0.307656 camera_base_pose.position.z=-0.0735403
camera_base_pose.position.x=1.22277 camera_base_pose.position.y=0.283015 camera_base_pose.position.z=-0.0778547
camera_base_pose.position.x=1.26673 camera_base_pose.position.y=0.342465 camera_base_pose.position.z=-0.0753826
camera_base_pose.position.x=1.2928 camera_base_pose.position.y=0.321334 camera_base_pose.position.z=-0.0761089
camera_base_pose.position.x=1.30657 camera_base_pose.position.y=0.315885 camera_base_pose.position.z=-0.0765799
camera_base_pose.position.x=1.36983 camera_base_pose.position.y=0.307759 camera_base_pose.position.z=-0.0746729
camera_base_pose.position.x=1.38419 camera_base_pose.position.y=0.292511 camera_base_pose.position.z=-0.0754613
camera_base_pose.position.x=1.40639 camera_base_pose.position.y=0.295303 camera_base_pose.position.z=-0.0794509
camera_base_pose.position.x=1.43032 camera_base_pose.position.y=0.311488 camera_base_pose.position.z=-0.0795423
camera_base_pose.position.x=1.48557 camera_base_pose.position.y=0.291654 camera_base_pose.position.z=-0.0813482
camera_base_pose.position.x=1.50654 camera_base_pose.position.y=0.306533 camera_base_pose.position.z=-0.0822333
camera_base_pose.position.x=1.52281 camera_base_pose.position.y=0.298081 camera_base_pose.position.z=-0.0867065
camera_base_pose.position.x=1.55623 camera_base_pose.position.y=0.283514 camera_base_pose.position.z=-0.0876391
camera_base_pose.position.x=1.57043 camera_base_pose.position.y=0.29846 camera_base_pose.position.z=-0.0914359
camera_base_pose.position.x=1.62172 camera_base_pose.position.y=0.299766 camera_base_pose.position.z=-0.0933209
camera_base_pose.position.x=1.65427 camera_base_pose.position.y=0.289098 camera_base_pose.position.z=-0.091771
camera_base_pose.position.x=1.65461 camera_base_pose.position.y=0.310397 camera_base_pose.position.z=-0.0947759
camera_base_pose.position.x=1.68848 camera_base_pose.position.y=0.281977 camera_base_pose.position.z=-0.0961215
camera_base_pose.position.x=1.72815 camera_base_pose.position.y=0.302768 camera_base_pose.position.z=-0.0932256
camera_base_pose.position.x=1.75057 camera_base_pose.position.y=0.297895 camera_base_pose.position.z=-0.0933686
camera_base_pose.position.x=1.80357 camera_base_pose.position.y=0.294383 camera_base_pose.position.z=-0.0949413
camera_base_pose.position.x=1.8362 camera_base_pose.position.y=0.278679 camera_base_pose.position.z=-0.0974992
